timestamp,jan1a,nor1a,sor1a,rst1a,har1a,kar1a,nal1a,lyr2a,tro2a,and1a,bjn1a,hop1a,don1a,jck1a,rvk1a,sol1a,dob1a,kir1a,top1a,kev1a,kas1a,kil1a,iav1a,muo1a,pel1a,ran1a,ouj1a,mek1a,han1a,nur1a,tar1a,sod1a,lrv1a,bfe6d,roe1d,bor2d,hov1d,nrd1d,sco2d,amk1f,kul2d
2024-09-01 00:10:00,15.491275331434736,-118.17933947936945,-118.3078262051913,-150.9406391574139,-31.06248522959686,-22.841622566169463,63.53817653473561,61.78583259273182,-123.67465376539803,-127.09283353421779,25.784206872976938,47.18799022366693,-190.50697300350294,-192.4576558258159,-197.3897459543041,-39.19880057292539,-63.10770541170132,-179.79896139029552,-21.9302373232058,-133.88031425882218,,-136.91488226487854,,-165.71770546437256,-210.3221331245768,-248.54113043158213,-177.48663643116925,-61.5124390263627,,-36.43702945425866,-26.741355118576394,-210.530430303319,-117.50851361272362,-23.64623395142189,-23.27553649427864,,-58.05365045541839,,,,
2024-09-01 00:11:00,17.04234489026385,-103.35776701698887,-96.70186844748059,-145.21665173874135,-29.592613147815428,-21.54369389547901,59.93913968944889,57.57881911501772,-111.77801664503022,-109.75855785901149,23.857520081519397,43.38939918806227,-185.10878863699327,-189.48567741135776,-191.69626908751889,-37.30918044624559,-60.60416402031842,-164.5904345390063,-21.379472090564377,-126.55895307942046,,-133.83870767381813,,-165.0416527821253,-202.15533450752628,-242.0752315909849,-178.09270921779535,-61.720303268515636,,-36.15097025718205,-26.58628764560126,-199.19674925276195,-120.09888122041411,-23.03202449444143,-22.773023105863103,,-56.97716044421577,,,,
2024-09-01 00:12:00,14.204614071773904,-94.31541010250112,-87.72831977494207,-140.0304800203503,-27.56025266323377,-20.079313983882457,57.46868339778757,55.19465487335128,-104.72260066734088,-97.69480346612363,23.513797472644,40.927947068137655,-176.12927099043736,-182.50281077728323,-180.61941976157686,-34.453911073136624,-56.26731736572947,-160.83147957961046,-20.762533356384665,-119.62715422981273,,-130.59871684223617,,-163.94280606330176,-194.3228158530983,-227.39474072537814,-169.81872414586724,-59.507782659966324,,-34.813642215340224,-26.09538612254255,-189.21367629730412,-119.88374143171131,-22.1627335555022,-22.209042535658227,,-53.35952692027058,,,,
2024-09-01 00:13:00,14.776485860764296,-85.41101751026508,-84.01069280855882,-147.54972063614332,-26.33556886732913,-19.241782116208924,56.70211844370169,54.44590711751971,-97.75746318211895,-90.26404050018573,23.15511928766864,37.87099760451474,-180.38313097940772,-182.78531105381808,-179.7811925400547,-33.33464010825992,-54.293369802293455,-162.3781408654686,-20.0295180432513,-117.8299871679701,,-133.27176804247028,,-166.66224968872302,-193.85642013989673,-217.96201557245695,-157.48362556999564,-56.662740122199466,,-33.969320882513784,-25.501255867191503,-189.4942303946409,-126.85236975916268,-20.996686528626014,-21.355249691401696,,-53.599792564731615,,,,
2024-09-01 00:14:00,16.726105791172813,-75.07276193790312,-65.78784142042787,-149.6794169785062,-25.062971805582492,-18.16662154243204,56.302115262098596,54.62046357391591,-80.53092669170837,-76.73247908037774,26.032586714454737,40.071498879909996,-182.68286415684452,-187.59381469904838,-183.00396999602162,-32.887448011175366,-53.65998881051564,-159.85504965095788,-18.713124624835473,-120.48088661747897,,-133.07651760626504,,-173.05015524013288,-200.0021063623608,-221.13085582742497,-153.89858540703062,-56.27129681189035,,-32.86274101900926,-24.46264718940256,-196.3153788597865,-126.57672174412801,-19.241308863161976,-20.086435782224726,,-56.37522442185946,,,,
2024-09-01 00:15:00,13.397099345684182,-54.257171453655246,-50.92104499085508,-148.92406315579683,-23.616556378898167,-17.3229390444576,55.28066148300695,54.485477338201235,-63.02829405396915,-67.79174703482931,25.193427858601353,42.132727314307886,-173.6885798216299,-182.63006899678294,-180.20084009433413,-31.43713250280416,-52.03767519034409,-161.73710906312044,-18.331498083756742,-119.05797088498366,,-116.74336406936163,,-173.39437766624542,-205.0699177528677,-230.20876678468085,-159.73143945652737,-57.323837717367496,,-32.233866686930924,-23.666792343532506,-202.3727775282241,-111.92311175442046,-18.42952741751651,-19.546831582902087,,-51.49752806880679,,,,
2024-09-01 00:16:00,13.546219351974287,-50.489573014545385,-48.5828939288549,-139.55002578292078,-22.971082674432182,-17.287082637205458,54.06887413332788,52.68879211965668,-60.041324713252834,-63.796459868577585,22.030674953341077,41.180292082083724,-155.00700807703834,-167.89513267531765,-167.0317830659642,-30.005909091320063,-49.17267668294335,-167.45190943478156,-18.69375421872246,-119.66179722135166,,-108.02133902565583,,-161.15537012584355,-195.90000264210903,-230.4813221081913,-162.02354597136218,-56.33041046329345,,-32.14169546435005,-23.74972022230213,-196.5241169157307,-103.13588514688126,-19.1832113283308,-20.113171690121817,,-46.16722154836316,,,,
2024-09-01 00:17:00,22.935952834212003,-47.51609516548524,-45.31288650236456,-131.76305653510644,-21.59965616100999,-16.601107455715464,55.04151973538592,51.502698117484215,-58.5580177261927,-61.51172131042949,17.144747913947867,38.11735673332532,-141.4183393391013,-153.35595131142873,-152.33943299823295,-28.024742178124143,-45.006514819773656,-165.6503683793744,-18.652261687686405,-107.74182917138387,,-102.87756193791574,,-146.10819304663528,-179.31077748750613,-219.4933360535706,-153.5744995649584,-52.847086444016895,,-31.39443713460787,-23.85353285057863,-180.97467386673634,-106.69884533770164,-19.33446855567672,-20.006290483754128,,-44.27061713056173,,,,
2024-09-01 00:18:00,31.487899611302055,-45.357412665251104,-44.26884667108243,-136.33642051138304,-20.242275497379524,-15.322948923714648,55.558432654695025,49.69423247794566,-57.9707068677435,-63.374717457223596,15.229398727675289,34.19014344551215,-144.8566907370987,-151.7803720239699,-149.74934582213064,-26.77441350816298,-42.47428886545276,-154.14070095465468,-17.593212016108737,-99.01619176093482,,-102.31694419583437,,-140.0534727424565,-167.47851067448937,-205.17363841556653,-141.06585494319734,-49.29426776447326,,-30.13910522283186,-23.363240887476422,-167.36056693398314,-108.20054106862699,-18.217455440088088,-18.928194381311187,,-46.3910335081091,,,,
2024-09-01 00:19:00,29.11155650816545,-36.67970772921217,-37.70534448435137,-146.0797640585406,-19.612497682941466,-14.183195227507895,57.526169096471676,50.72392867712824,-61.38727472163737,-75.41336309697908,16.204191360820914,31.776662416680665,-155.01532803294322,-162.710760661912,-161.4179460751002,-26.663447304745205,-43.691178235412735,-139.26971991672508,-16.379346808858827,-96.40058740816676,,-108.54296146024717,,-148.01450717219632,-171.99639591446794,-204.2567254981259,-139.0651987482579,-48.1656568347571,,-29.350586810896857,-22.382343931047217,-168.64629444948878,-106.16247269511769,-16.353618808829196,-17.277999582565826,,-48.00644607423965,,,,
