timestamp,jan1a,nor1a,sor1a,rst1a,har1a,kar1a,nal1a,lyr2a,tro2a,and1a,bjn1a,hop1a,don1a,jck1a,rvk1a,sol1a,dob1a,kir1a,top1a,kev1a,kas1a,kil1a,iav1a,muo1a,pel1a,ran1a,ouj1a,mek1a,han1a,nur1a,tar1a,sod1a,lrv1a,bfe6d,roe1d,bor2d,hov1d,nrd1d,sco2d,amk1f,kul2d
2024-11-08 00:00:00,156.6611686745091,186.08616183102276,206.64883690467832,102.78513220798777,-56.65916903028119,-43.8270377195513,115.03884697200556,130.95732887370832,200.0184575277308,141.21637729995564,213.04713550707675,182.51620534848917,3.5256117237149738,34.392914969314006,-102.47883968710812,-72.68053810299898,-93.2699324195637,108.85360227234924,-23.562549256530474,90.47327282165497,,184.46971650765045,,89.99595612876874,-21.932589923380874,-160.89514323300682,-153.85923963349342,-101.15746676322306,-97.68185566573084,-60.901544346932496,-38.53344241336163,-44.92869499458175,-18.740278309283894,-21.22974243722274,-14.644655075273477,,-97.98143637657631,28.663611424562987,81.74545664293692,,38.473569497400604
2024-11-08 00:01:00,156.26116867450764,182.1861618310213,195.24883690467686,99.58513220799068,-54.75916903028701,-42.927037719549844,115.23884697200265,131.8573288737025,184.31845752772642,126.21637729995564,211.64713550708257,186.01620534848917,0.025611723714973778,34.09291496931837,-97.27883968710375,-70.58053810299316,-89.96993241956807,109.75360227235069,-23.26254925653484,97.27327282165788,,175.3697165076519,,91.39595612876292,-13.732589923383784,-155.29514323300828,-150.45923963349196,-97.35746676322742,-95.08185566573229,-59.50154434693104,-37.63344241336745,-24.628694994586112,-18.240278309283894,-21.129742437224195,-14.844655075277842,,-97.08143637658213,31.063611424564442,50.94545664294128,,39.473569497400604
2024-11-08 00:02:00,155.96116867450473,178.38616183102567,183.8488369046754,93.38513220799359,-52.65916903028119,-41.927037719549844,113.83884697200119,132.75732887370395,169.11845752772933,108.01637729995855,201.54713550707675,191.71620534848626,-0.9743882762850262,32.99291496931983,-88.27883968710375,-68.08053810299316,-86.36993241956225,111.75360227235069,-22.96254925653193,108.37327282165643,,165.76971650765336,,88.09595612876728,-13.13258992338524,-148.79514323300828,-147.05923963349778,-93.45746676322597,-91.78185566572938,-57.601544346929586,-36.73344241336599,-12.428694994581747,-19.740278309283894,-21.129742437224195,-15.044655075274932,,-96.28143637657922,33.66361142456299,67.64545664293837,,42.07356949739915
2024-11-08 00:03:00,156.1611686745091,173.1861618310213,170.54883690467977,88.28513220798777,-50.059169030282646,-39.727037719552754,111.73884697200265,131.6573288737054,153.61845752772933,94.21637729995564,198.9471355070782,195.71620534848626,-6.774388276287937,24.892914969314006,-84.67883968710521,-64.38053810299607,-81.86993241956225,110.65360227234487,-22.362549256533384,116.77327282165788,,151.569716507649,,85.79595612876437,-15.83258992338233,-143.79514323300828,-143.35923963349342,-89.85746676322742,-88.08185566573229,-55.601544346929586,-35.93344241336308,-0.9286949945817469,-19.440278309280984,-20.92974243721983,-15.044655075274932,,-95.68143637658068,34.36361142456735,87.84545664294274,,48.77356949739624
2024-11-08 00:04:00,157.56116867451055,168.08616183102276,159.64883690467832,78.98513220799214,-47.75916903028701,-36.727037719552754,111.83884697200119,131.05732887370687,137.81845752772642,81.01637729995855,195.2471355070811,200.01620534848917,-15.374388276286481,14.892914969314006,-80.97883968710812,-60.18053810299898,-77.66993241956516,110.25360227235069,-21.66254925652902,121.87327282165643,,136.569716507649,,85.49595612876874,-14.63258992338524,-133.69514323300973,-141.05923963349778,-85.45746676322597,-84.18185566573084,-53.601544346929586,-34.93344241336308,8.271305005415343,-16.040278309286805,-20.529742437218374,-15.044655075274932,,-95.08143637658213,34.4636114245659,105.34545664294274,,51.27356949739624
2024-11-08 00:05:00,153.96116867450473,162.08616183102276,154.74883690467686,69.68513220798923,-45.559169030282646,-34.427037719549844,108.1388469720041,128.95732887370832,124.61845752772933,68.6163772999571,193.84713550707966,204.91620534848335,-19.774388276287937,6.992914969319827,-77.47883968710812,-57.08053810299316,-74.36993241956225,105.45360227234778,-20.562549256530474,122.97327282165497,,123.8697165076519,,79.29595612876437,-17.732589923383784,-128.09514323301119,-137.25923963349487,-83.15746676322306,-81.08185566573229,-51.80154434693395,-33.93344241336308,9.371305005413888,-13.440278309280984,-19.92974243721983,-15.044655075274932,,-94.48143637657631,35.06361142456444,129.84545664294274,,47.07356949739915
2024-11-08 00:06:00,148.06116867451055,171.1861618310213,157.8488369046754,60.48513220799214,-44.35916903028556,-34.3270377195513,100.53884697200556,124.15732887370541,115.11845752772933,64.6163772999571,197.14713550708257,202.91620534848335,-22.57438827628357,-1.3070850306830835,-72.17883968710521,-56.480538102994615,-72.66993241956516,94.35360227234924,-20.26254925653484,120.97327282165497,,112.46971650765045,,75.39595612876292,-14.33258992338233,-119.89514323300682,-133.75923963349487,-81.25746676322888,-78.18185566573084,-50.70154434692813,-32.73344241336599,11.471305005412432,-11.740278309283894,-19.629742437224195,-14.944655075276387,,-93.78143637657922,34.36361142456735,124.74545664293692,,40.67356949739769
2024-11-08 00:07:00,144.6611686745091,188.28616183101985,157.04883690467977,55.88513220799359,-43.15916903028119,-34.027037719555665,95.1388469720041,116.3573288737025,106.81845752772642,50.21637729995564,200.2471355070811,194.01620534848917,-22.57438827628357,-8.907085030681628,-69.77883968710375,-55.58053810299316,-70.66993241956516,85.25360227235069,-19.76254925653484,117.37327282165643,,102.3697165076519,,68.29595612876437,-13.732589923383784,-116.29514323300828,-130.55923963349778,-78.65746676322306,-74.68185566573084,-49.101544346929586,-31.333442413364537,10.771305005415343,-8.540278309286805,-19.22974243722274,-14.844655075277842,,-92.88143637657777,32.26361142456881,100.14545664293837,,31.473569497400604
2024-11-08 00:08:00,140.06116867451055,186.48616183102422,146.3488369046754,51.98513220799214,-42.15916903028119,-32.927037719549844,94.23884697200265,113.65732887370541,95.21845752772788,31.816377299954183,201.34713550707966,183.71620534848626,-24.37438827628648,-13.407085030681628,-69.57883968710667,-53.980538102994615,-68.56993241956661,78.85360227234924,-18.96254925653193,115.47327282165497,,89.76971650765336,,61.49595612876874,-16.932589923380874,-111.49514323301264,-126.05923963349778,-75.85746676322742,-71.58185566573229,-47.401544346932496,-30.233442413365992,7.971305005412432,-5.2402783092838945,-18.92974243721983,-14.644655075273477,,-92.18143637658068,30.963611424565897,82.54545664293983,,27.973569497400604
2024-11-08 00:09:00,138.26116867450764,165.28616183101985,133.44883690467395,46.88513220799359,-40.559169030282646,-32.3270377195513,95.83884697200119,115.75732887370395,83.31845752772642,15.916377299952728,198.14713550708257,178.6162053484877,-27.474388276285026,-14.707085030684539,-71.17883968710521,-52.980538102994615,-66.66993241956516,71.05360227234632,-18.46254925653193,112.77327282165788,,78.8697165076519,,53.89595612876292,-17.732589923383784,-105.79514323300828,-120.55923963349778,-71.45746676322597,-68.28185566572938,-45.601544346929586,-29.133442413367447,6.171305005416798,-2.2402783092838945,-18.42974243721983,-14.544655075274932,,-91.28143637657922,29.963611424565897,84.24545664293692,,20.673569497397693
